"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873452513.96648","1896456983.24022","1961843575.41899","2044111731.84358","2254830726.25698","2360017318.43575","2469782681.56425","2677641340.78212","2843024581.00559","2553793296.08939","2453597206.70391","2637859217.87709","2615208379.88827","2727849162.01117","2790849720.67039","2962906703.91061","2983637430.1676","3092427932.96089","3276187709.49721","3346623191.45988","2471419181.71957","2880902798.92288","3324034443.26581","3834729616.12027","4265650673.00236","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","24205688712.3759","24958886027.4641","27073233856.5389","31769135008.6453","30279553206.6418","33806176716.8471","36927249593.1569","38444163573.9168","41742001495.4024","47048523178.8515","47593907819.7874","52188685166.5557","56726057494.0767","73083598128.682","89535976340.3864","95295754526.8723","96006417139.9692","109208244154.943","124083421003.115","142099959764.832","178472295521.021","185108969364.767","178355547527.525","185755503030.119","170038515839.183","149335153752.165","160553515127.741","190175229570.901","207368870172.406","220613390803.074","256383050159.487","276918502950.348","241188307967.9","239981176638.05","243477534983.306","273327034187.587","273427612467.252","288270699674.414","268728127688.21","265321007618.974","287041984552.036","260849957489.123","269746009737.979","358116081062.427","445974808500.088","521561976778.096","587500469826.421","674999944547.619","726770401376.729","726921646144.603","863822114606.332","959822476083.878","969265729636.028","981308886976.783","998836162271.296","910002035578.038","831868076442.431","978076465866.452","1020955778298.17","1018714795912.35","938607563405.087","1114144799994.21","1228967879390.01","1179359054880.45","1242693542929.85","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3521418059.92345","2813571753.87253","3825701438.99963","4520946818.54581","5224896718.67782","6203256538.70967","6971758282.29351","9747886187.39393","10109297047.5432","12416152732.0567","15856668555.8336","17805098206.3141","19907329777.5872","20146416757.5987","20497128555.6972","19134221644.7325","18116572395.0772","18753456497.8159","18053222687.4126","18799444490.1128","19955929052.1496","14259995441.0759","14497243872.1337","17152234636.8715","","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","11904805741.6831","12707719290.6273","13630588814.3032","14468913698.0467","15803564796.4118","16920876929.6607","18033947666.935","16493541543.816","17022596883.7037","19301191937.1478","26696924213.8055","24496786001.8079","29489425515.7538","36890633234.1126","49687223643.2392","57280116275.6847","68385552348.1688","71789497552.1911","78778080489.5676","96681064864.1808","121445961252.94","217606540487.256","196264853551.918","151421439334.1","131373058519.308","138005066699.39","109517776160.1","112641148828.574","111770322169.923","104577372052.932","124277825786.697","130794315519.503","125449432677.392","130547124413.669","135350756019.393","207843864308.605","263563556144.176","276460023661.745","297126502718.937","140119071338.285","142700161610.079","150714426912.056","180129182230.862","208646527354.851","257939299771.713","316515667947.035","402077365740.581","470947616490.719","574259808704.121","515037106035.659","605794323433.505","691133400013.31","748030003656.802","844180401591.48","904071921008.085","778022057597.448","700028168335.244","694051345937.233","777840323023.311","1026996211935.8","963784699293.976","1026651004045.79","1063649130876.99","938238370514.198","736384961061.523","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.96263","5550483035.96497","5550483035.96497","5784341596.36339","6131475065.17815","7554065410.121","7072536108.69711","8084412414.26566","8769836768.83482","10201780976.6696","11229515599.3048","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526421519.16979","7648380195.59902","6506221615.78722","6152923310.44546","9129594970.15301","8936079117.73136","17311512432.451","20342128111.9753","26997977896.5924","41396636383.3725","58653659979.711","73037821926.6813","98790432989.4067","81705175408.3893","95546919754.7633","125551634704.473","143572907527.976","148845200696.792","153449860496.402","102543067840.732","59878249719.3279","84376935689.3366","89512794227.495","80734428592.5368","58852456453.8769","79559543805.2963","131212208930.344","107167747140.127","100998916781.079","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","1578102105.26316","1808177156.17716","1861163170.16317","1881412587.41259","1857337995.338","1897050116.55012","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880950864.41311","2905092798.61916","3234486232.04392","2293666029.99318","2600356999.20614","3283941510.49964","3584570164.85195","4059064033.13379","4515003116.68036","5801712040.48463","7406645793.44038","8256658249.8128","9150528132.17633","11116937869.8568","13258506375.4518","12335540656.1006","12086545641.299","12973755874.5365","12246499747.9714","12796985886.1478","13296322588.1684","11470171826.9575","11988668784.6628","13258268435.6048","15379508329.7568","15585111614.0376","15241458744.5927","18031989573.0294","19017247013.8821","23491242727.4082","27046429296.6673","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617711.0965325","89406608.1458151","113414397.365635","150841639.297444","186557081.998137","220112572.205331","227283850.831271","253997897.226968","308020261.164149","411548748.354729","446377776.798001","388983266.199886","375914743.581006","327850042.515872","330073080.637098","346742714.675152","481996012.869071","611299924.540506","721425939.15155","795489582.04491","1028989692.06787","1106891361.53948","1209992020.29543","1007090269.86956","1017544068.8408","1178745282.8678","1224024139.21295","1180645571.8643","1211953994.05714","1240295198.78331","1432606296.26722","1548265926.7572","1764279817.95815","2366941614.03001","2900244053.52758","3161084846.97686","3459336818.03742","3957627536.75624","4102317468.30156","3688974807.45037","3449925693.58181","3629133062.55168","3188653258.61001","3193513470.43941","3271686452.47686","2789882569.1005","2896611878.6258","3000160414.63795","3218418631.67579","3155150255.91195","2891002460.29153","3324648075.56293","3380611694.73392","3785065524.84754","4039842405.48117","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","19998438484.7345","20329047307.1191","22364472061.2973","24813307353.8628","26771102387.3542","28351046183.4396","30600869634.5039","34973045350.791","38563619624.2434","43094140248.5053","49930151658.8481","59970718932.0005","79130725986.8479","152199035091.115","168169966031.31","210007567495.429","242286792667.265","265416211837.584","358135553984.577","486438763949.335","494934288111.785","463099887499.949","437476513138.035","440187316546.138","432863846846.03","405451959728.242","431233175938.527","429362637000.524","457356344756.136","641684045874.297","467929266012.123","467773383888.632","478901764895.935","499875724097.082","528474798399.241","570906157108.377","614595338335.664","598783412688.275","665404837896.429","763400003917.067","744722772315.709","746650656664.552","830076413454.427","987304981951.165","1210081969427.04","1439461108230.61","1674641032780.09","2118071078804.52","1829849574764.63","2161397546202.94","2573067811497.98","2813567531715.43","2883689839002.54","2937035588682.67","2580328583417.41","2536564595458.87","2611323720520","2920829737234.67","2965285548936.01","2604104981819.8","3085141461685.6","3747416641077.46","3622495663981.78","3735881442514.35","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","685986701.316701","939893599.634201","1415086929.3006","4231243615.86089","11651505689.4244","14720728248.5355","19213158778.7928","24871775164.6043","23775764224.6832","31225659620.9951","43599160050.3322","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","307736419332.88","368881143635.126","392793464942.138","409632675289.313","424935874744.724","381973042886.317","381717086453.37","403365010211.028","440560108917.631","433926208304.969","357161878829.135","422441388699.796","511403403675.97","522622191967.325","552324846834.581","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","15865474315.4056","20132220374.9093","18337691145.3688","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499892.1722","56781000101.0848","89049453088.3282","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","116915052107.031","88150891728.1064","105872372613.857","108810885301.253","126890235049.092","76629728760.123","141352654305.163","189719984268.485","228778917308.17","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530158122010.442","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557532320662.955","643628393281.364","524819892360.176","447754683615.225","385740508436.965","486564085480.036","633993756301.08","649461687959.174","638365455340.04","",
