station_id,fips,state,county_bea,county_name_census,gdp_2024,latitude,longitude,gdp_billions
1,36061,NY,"New York, NY",New York County,1006673239.0,40.776642,-73.970187,1006.673239
2,06037,CA,"Los Angeles, CA",Los Angeles County,1002965029.0,34.196398,-118.261862,1002.965029
3,48201,TX,"Harris, TX",Harris County,592750582.0,29.857273,-95.393037,592.750582
4,17031,IL,"Cook, IL",Cook County,546440623.0,41.894294,-87.645455,546.440623
5,53033,WA,"King, WA",King County,477154354.0,47.490552,-121.833977,477.154354
6,06085,CA,"Santa Clara, CA",Santa Clara County,438483301.0,37.221614,-121.68954,438.483301
7,04013,AZ,"Maricopa, AZ",Maricopa County,419250222.0,33.345176,-112.49893,419.250222
8,48113,TX,"Dallas, TX",Dallas County,389402358.0,32.766987,-96.778424,389.402358
9,06059,CA,"Orange, CA",Orange County,351752654.0,33.675687,-117.777207,351.752654
10,06073,CA,"San Diego, CA",San Diego County,331867565.0,33.023604,-116.776117,331.867565
11,06075,CA,"San Francisco, CA",San Francisco County,268321762.0,37.992429,-122.97439,268.321762
12,12086,FL,"Miami-Dade, FL",Miami-Dade County,260837199.0,25.616009,-80.50375,260.837199
13,13121,GA,"Fulton, GA",Fulton County,243562683.0,33.790034,-84.468182,243.562683
14,25017,MA,"Middlesex, MA",Middlesex County,240665230.0,42.481718,-71.394916,240.66523
15,06081,CA,"San Mateo, CA",San Mateo County,217017754.0,37.414672,-122.371546,217.017754
16,48453,TX,"Travis, TX",Travis County,202653490.0,30.239513,-97.69127,202.65349
17,32003,NV,"Clark, NV",Clark County,195936289.0,36.21413,-115.014398,195.936289
18,27053,MN,"Hennepin, MN",Hennepin County,193617316.0,45.006121,-93.475228,193.617316
19,25025,MA,"Suffolk, MA",Suffolk County,190778332.0,42.338551,-71.018253,190.778332
20,37119,NC,"Mecklenburg, NC",Mecklenburg County,186113840.0,35.246862,-80.833832,186.11384
21,11001,DC,"District of Columbia, DC",District of Columbia,184297673.0,38.904247,-77.016517,184.297673
22,06001,CA,"Alameda, CA",Alameda County,182539223.0,37.647139,-121.912488,182.539223
23,48439,TX,"Tarrant, TX",Tarrant County,178003332.0,32.772119,-97.291224,178.003332
24,12011,FL,"Broward, FL",Broward County,173651328.0,26.193535,-80.476683,173.651328
25,12095,FL,"Orange, FL",Orange County,160399730.0,28.514391,-81.323284,160.39973
26,48029,TX,"Bexar, TX",Bexar County,159588712.0,29.448671,-98.520147,159.588712
27,49035,UT,"Salt Lake, UT",Salt Lake County,153846066.0,40.667883,-111.92424,153.846066
28,12057,FL,"Hillsborough, FL",Hillsborough County,152009857.0,27.893154,-82.379991,152.009857
29,36047,NY,"Kings, NY",Kings County,145934266.0,40.635045,-73.95064,145.934266
30,26125,MI,"Oakland, MI",Oakland County,143144361.0,42.660452,-83.38421,143.144361
31,36081,NY,"Queens, NY",Queens County,143131298.0,40.654658,-73.841209,143.131298
32,39049,OH,"Franklin, OH",Franklin County,141972302.0,39.969875,-83.009086,141.972302
33,12099,FL,"Palm Beach, FL",Palm Beach County,140505730.0,26.649126,-80.448354,140.50573
34,36103,NY,"Suffolk, NY",Suffolk County,139014125.0,40.943554,-72.692218,139.014125
35,06071,CA,"San Bernardino, CA",San Bernardino County,137913905.0,34.856661,-116.181571,137.913905
36,39035,OH,"Cuyahoga, OH",Cuyahoga County,135913887.0,41.555037,-81.604957,135.913887
37,18097,IN,"Marion, IN",Marion County,135592874.0,39.782976,-86.135794,135.592874
38,06067,CA,"Sacramento, CA",Sacramento County,135538141.0,38.450136,-121.344329,135.538141
39,42101,PA,"Philadelphia, PA",Philadelphia County,134988949.0,40.009376,-75.133346,134.988949
40,06065,CA,"Riverside, CA",Riverside County,134756586.0,33.729828,-116.002239,134.756586
41,42003,PA,"Allegheny, PA",Allegheny County,132891899.0,40.469757,-79.980451,132.891899
42,36059,NY,"Nassau, NY",Nassau County,130221948.0,40.729612,-73.589414,130.221948
43,26163,MI,"Wayne, MI",Wayne County,129920105.0,42.284664,-83.261953,129.920105
44,17043,IL,"DuPage, IL",DuPage County,129734015.0,41.852058,-88.086039,129.734015
45,08031,CO,"Denver, CO",Denver County,128544473.0,39.76185,-104.881105,128.544473
46,37183,NC,"Wake, NC",Wake County,128428188.0,35.789846,-78.650624,128.428188
47,36119,NY,"Westchester, NY",Westchester County,120153941.0,41.152686,-73.745753,120.153941
48,24031,MD,"Montgomery, MD",Montgomery County,117389979.0,39.137381,-77.203063,117.389979
49,47037,TN,"Davidson, TN",Davidson County,116878829.0,36.169129,-86.78479,116.878829
50,48085,TX,"Collin, TX",Collin County,115357858.0,33.194494,-96.579428,115.357858
51,29189,MO,"St. Louis, MO",St. Louis County,114807071.0,38.640688,-90.446073,114.807071
52,09110,CT,"Capitol, CT*",Capitol Planning Region,110914256.0,41.81697,-72.575886,110.914256
53,42091,PA,"Montgomery, PA",Montgomery County,110422372.0,40.209999,-75.370201,110.422372
54,39061,OH,"Hamilton, OH",Hamilton County,107275150.0,39.196927,-84.544187,107.27515
55,34003,NJ,"Bergen, NJ",Bergen County,105804508.0,40.959698,-74.074727,105.804508
56,12031,FL,"Duval, FL",Duval County,105371260.0,30.335245,-81.648113,105.37126
57,06013,CA,"Contra Costa, CA",Contra Costa County,96579110.0,37.919479,-121.951543,96.57911
58,41051,OR,"Multnomah, OR",Multnomah County,90617607.0,45.547711,-122.417363,90.617607
59,47157,TN,"Shelby, TN",Shelby County,88404225.0,35.184553,-89.894612,88.404225
60,15003,HI,"Honolulu, HI",Honolulu County,87066455.0,21.461365,-158.201974,87.066455
61,34023,NJ,"Middlesex, NJ",Middlesex County,86704508.0,40.439621,-74.40743,86.704508
62,17097,IL,"Lake, IL",Lake County,82868798.0,42.185968,-87.805939,82.868798
63,13067,GA,"Cobb, GA",Cobb County,81868771.0,33.939926,-84.57411,81.868771
64,36029,NY,"Erie, NY",Erie County,81131829.0,42.752759,-78.778192,81.131829
65,55079,WI,"Milwaukee, WI",Milwaukee County,78804158.0,42.912643,-87.862312,78.804158
66,21111,KY,"Jefferson, KY",Jefferson County,78803068.0,38.189532,-85.657624,78.803068
67,12103,FL,"Pinellas, FL",Pinellas County,78130648.0,27.905342,-82.798066,78.130648
68,09190,CT,"Western Connecticut, CT*",Western Connecticut Planning Region,76343680.0,41.279055,-73.44655,76.34368
69,34013,NJ,"Essex, NJ",Essex County,76179529.0,40.7874,-74.246292,76.179529
70,10003,DE,"New Castle, DE",New Castle County,75963832.0,39.575915,-75.644132,75.963832
71,25021,MA,"Norfolk, MA",Norfolk County,75071231.0,42.171738,-71.18111,75.071231
72,34027,NJ,"Morris, NJ",Morris County,74395289.0,40.858896,-74.547292,74.395289
73,31055,NE,"Douglas, NE",Douglas County,73770708.0,41.297091,-96.154066,73.770708
74,40109,OK,"Oklahoma, OK",Oklahoma County,73735485.0,35.554611,-97.409401,73.735485
75,24005,MD,"Baltimore, MD",Baltimore County,73113508.0,39.443167,-76.616569,73.113508
76,13135,GA,"Gwinnett, GA",Gwinnett County,72407992.0,33.958756,-84.025735,72.407992
77,24003,MD,"Anne Arundel, MD",Anne Arundel County,69946072.0,38.991617,-76.560894,69.946072
78,06111,CA,"Ventura, CA",Ventura County,69605643.0,34.358748,-119.133145,69.605643
79,20091,KS,"Johnson, KS",Johnson County,67012163.0,38.883907,-94.82233,67.012163
80,04019,AZ,"Pima, AZ",Pima County,66711927.0,32.128038,-111.783657,66.711927
81,08005,CO,"Arapahoe, CO",Arapahoe County,66677000.0,39.644554,-104.331706,66.677
82,34017,NJ,"Hudson, NJ",Hudson County,65735570.0,40.731375,-74.078601,65.73557
83,24510,MD,"Baltimore (Independent City), MD",Baltimore city,65578972.0,39.300032,-76.610476,65.578972
84,01073,AL,"Jefferson, AL",Jefferson County,65539202.0,33.553444,-86.896536,65.539202
85,24033,MD,"Prince George's, MD",Prince George's County,65163322.0,38.829278,-76.848188,65.163322
86,36055,NY,"Monroe, NY",Monroe County,65111347.0,43.250347,-77.700518,65.111347
87,29095,MO,"Jackson, MO",Jackson County,65088886.0,39.005364,-94.343211,65.088886
88,53053,WA,"Pierce, WA",Pierce County,64941171.0,47.051413,-122.15324,64.941171
89,48121,TX,"Denton, TX",Denton County,64328703.0,33.205132,-97.12114,64.328703
90,06019,CA,"Fresno, CA",Fresno County,64216914.0,36.761006,-119.655019,64.216914
91,19153,IA,"Polk, IA",Polk County,63823028.0,41.684816,-93.568971,63.823028
92,41067,OR,"Washington, OR",Washington County,63190436.0,45.553542,-123.097615,63.190436
93,06029,CA,"Kern, CA",Kern County,63069657.0,35.346629,-118.729506,63.069657
94,55025,WI,"Dane, WI",Dane County,62805670.0,43.067468,-89.417852,62.80567
95,53061,WA,"Snohomish, WA",Snohomish County,61969883.0,48.054913,-121.765038,61.969883
96,25027,MA,"Worcester, MA",Worcester County,60947229.0,42.311693,-71.940282,60.947229
97,25009,MA,"Essex, MA",Essex County,60732738.0,42.642708,-70.864909,60.732738
