lat,lon,cloud_amount
-89.5,60.0,11.100000000000001
-89.5,180.0,17.6
-89.5,300.0,13.600000000000001
-88.5,20.0,10.0
-88.5,60.0,11.200000000000001
-88.5,100.0,13.600000000000001
-88.5,140.0,16.8
-88.5,180.0,19.6
-88.5,220.0,18.1
-88.5,260.0,16.6
-88.5,300.0,14.700000000000001
-88.5,340.0,12.600000000000001
-87.5,11.25,13.5
-87.5,33.75,11.700000000000001
-87.5,56.25,10.4
-87.5,78.75,12.0
-87.5,101.25,13.100000000000001
-87.5,123.75,13.5
-87.5,146.25,18.900000000000002
-87.5,168.75,23.900000000000002
-87.5,191.25,26.8
-87.5,213.75,32.1
-87.5,236.25,24.3
-87.5,258.75,20.700000000000003
-87.5,281.25,20.3
-87.5,303.75,19.6
-87.5,326.25,16.7
-87.5,348.75,15.100000000000001
-86.5,8.181818,15.3
-86.5,24.545454,11.700000000000001
-86.5,40.90909,8.700000000000001
-86.5,57.272728,7.9
-86.5,73.63637,8.1
-86.5,90.0,9.200000000000001
-86.5,106.36363,11.0
-86.5,122.72727,13.3
-86.5,139.09091,18.0
-86.5,155.45453,24.8
-86.5,171.81818,30.8
-86.5,188.18182,41.300000000000004
-86.5,204.54544,73.2
-86.5,220.90909,61.400000000000006
-86.5,237.27274,43.5
-86.5,253.63635,23.900000000000002
-86.5,270.0,25.3
-86.5,286.36365,28.6
-86.5,302.72726,27.700000000000003
-86.5,319.0909,26.5
-86.5,335.45456,22.0
-86.5,351.81818,18.8
-85.5,6.428571,14.600000000000001
-85.5,19.285713,11.9
-85.5,32.142857,9.3
-85.5,45.0,7.5
-85.5,57.85714,6.9
-85.5,70.71428,6.7
-85.5,83.57143,6.2
-85.5,96.42857,7.300000000000001
-85.5,109.285706,9.3
-85.5,122.14285,11.5
-85.5,135.0,16.0
-85.5,147.85715,22.8
-85.5,160.7143,39.1
-85.5,173.57143,67.3
-85.5,186.42857,78.7
-85.5,199.28572,89.10000000000001
-85.5,212.14285,76.0
-85.5,225.0,67.60000000000001
-85.5,237.85715,63.300000000000004
-85.5,250.7143,29.700000000000003
-85.5,263.5714,24.6
-85.5,276.4286,31.400000000000002
-85.5,289.2857,38.1
-85.5,302.14288,41.900000000000006
-85.5,315.0,39.0
-85.5,327.85712,32.6
-85.5,340.7143,25.900000000000002
-85.5,353.5714,19.700000000000003
-84.5,5.142857,15.8
-84.5,15.428572,12.100000000000001
